list_name,name,label,info_base,info_admin1,info_admin2,info_admin3
oui_non,oui,Oui,,,,
oui_non,non,Non,,,,
oui_non_na,oui,Oui,,,,
oui_non_na,non,Non,,,,
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),,,,
modalite,direct,Face à face,,,,
modalite,telephone,Telephone,,,,
situation_matrimoniale,marie_monogame,Marié - Monogame,,,,
situation_matrimoniale,marie_polygame,Marié - Polygame,,,,
situation_matrimoniale,marie_veuf,Veuf/veuve,,,,
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",,,,
situation_matrimoniale,celibataire,Celibataire,,,,
situation_matrimoniale,divorce,Divorcé/e,,,,
chef_profession,agriculteur,Agriculteur,,,,
chef_profession,eleveur,Eleveur,,,,
chef_profession,pecheur_chasseur,Pêcheur / chasseur,,,,
chef_profession,fonctionnaire,Fonctionnaire (sauf professeur),,,,
chef_profession,professeur,Professeur / maître d'école,,,,
chef_profession,etudiant,Etudiant/Elève,,,,
chef_profession,chef,Chef communautaire,,,,
chef_profession,prive,Travailleur du secteur privé,,,,
chef_profession,commercant,Commerçant,,,,
chef_profession,transporteur,Transporteur,,,,
centre_nutritionnel,centre_nutrition,Un centre qui offre des services nutritionnels,,,,
centre_nutritionnel,centre_mob_nutrition,Des services mobiles de nutrition,,,,
centre_nutritionnel,aucun,Aucun service nutritionnel,,,,
temps_service_nut,moins_15mn,Moins de 15 minutes,,,,
temps_service_nut,entre_15_30mn,Moins de 30 minutes,,,,
temps_service_nut,entre_31mn_1h,Moins de 1h,,,,
temps_service_nut,plus_1h,Moins de 3h,,,,
temps_service_nut,plus_3h,Plus de 3h,,,,
liste_service_nut,malnu_severe_eft,Prise en charge de la malnutrition sévère des enfants,,,,
liste_service_nut,malnu_moderer_eft,Prise en charge de la malnutrition modérée des enfants,,,,
liste_service_nut,malnu_severe_fem,Prise en charge de la malnutrition sévère des femmes enceintes et allaitantes,,,,
liste_service_nut,malnu_moderer_fem,Prise en charge de la malnutrition modérée des femmes enceintes et allaitantes,,,,
liste_service_nut,depistage,Présence d'une personne capable de faire le dépistage précoce de la malnutrition à l'aide d'un ruban,,,,
liste_service_nut,soutien_femme,Groupe de soutien pour les femmes enceintes et les mères allaitantes,,,,
liste_service_nut,aucun,Aucun,,,,
liste_service_nut,autre,Autre,,,,
liste_service_nut,nsp,Ne sait pas,,,,
liste_revenu,agri,Agriculture ou maraîchage et vente des produits d'agriculture,,,,
liste_revenu,peche,"Pêche/Chasse/cueillette et vente des produits de la pêche/chasse/cueillette (miel, gibier, champignons, chenilles)",,,,
liste_revenu,elevage,"Élevage et vente de produits d'élevage et de bétail (lait, ?ufs, volailles)",,,,
liste_revenu,propr_terrien,Propriétaires terriens (vente ou location de terres ou logement),,,,
liste_revenu,commerce,Commerce,,,,
liste_revenu,petit_com,Petit commerce,,,,
liste_revenu,petit_metier,"Petits métiers (menuisier, maçons, plombier, tailleur etc.))",,,,
liste_revenu,journa_agri,Travail journalier rémunéré agricole (en nature ou en espèces),,,,
liste_revenu,journa,Travail journalier rémunéré non agricole,,,,
liste_revenu,transport,"Transport (chauffeur, activités connexes)",,,,
liste_revenu,fonctionnaire,Fonctionnaires et/ou salariés (y compris pension),,,,
liste_revenu,prod_natu,Transformation produits naturels/Exploitation/vente de la production minière,,,,
liste_revenu,argent,Transferts d'argent/Aides/Dons sociaux (fait par la communauté/famille et/ou des tierces personnes)/Aides/Dons humanitaire (fait par l'Etat ou des organisations)/Mendicité/Emprunts/Dettes,,,,
liste_revenu,aucun,Aucune,,,,
liste_revenu,autre,Autre (à préciser),,,,
liste_revenu,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_source_produit,jardin,Propre production (jardin),,,,
liste_source_produit,achat,"Achats (marché, boutique)",,,,
liste_source_produit,emprunt,"Emprunt, (crédit  de la boutique)",,,,
liste_source_produit,don,Dons d'amis/de voisins/parents,,,,
liste_source_produit,chasse,Chasse/cueillette/pêche/collecte,,,,
liste_source_produit,echange,Echanges d'aliments contre du travail ou biens,,,,
liste_source_produit,aide,"Aides alimentaires de la société civile, d'ONG, du gouvernement, du PAM, etc.",,,,
liste_source_produit,autre,Autre (à préciser),,,,
liste_source_produit,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_aucun_aliment,rarement,Rarement (1 à 2 fois),,,,
liste_aucun_aliment,parfois,Parfois (3 à 10 fois),,,,
liste_aucun_aliment,souvent,Souvent (plus que 10 fois),,,,
liste_aucun_aliment,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_non_agri,acces_terre,Pas d'accès à la terre / Parcelle trop loin / Manque de terre,,,,
liste_non_agri,insecurite,Insécurité lors de la culture ou la récolte,,,,
liste_non_agri,semence,Manque de semences / outils,,,,
liste_non_agri,main_oeuvre,Manque / Insuffisance de main d'?uvre,,,,
liste_non_agri,sol_pauvre,Sols trop pauvres,,,,
liste_non_agri,insuff_pluie,Manque / Insuffisance de pluie,,,,
liste_non_agri,inondation,Inondation,,,,
liste_non_agri,cultive,Jamais cultivé / Autres sources de revenu,,,,
liste_non_agri,finance,Manque de moyens financiers,,,,
liste_non_agri,autre,Autre (à préciser),,,,
liste_non_agri,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_marche_fonction,marche_distant,Il n'y a pas de marchés à distance de marche dans la zone (aller-retour impossible dans la journée) ;,,,,
liste_marche_fonction,insecurite,"Il y a un marché dans la zone, mais je ne peux m'y rendre pour cause d'insécurité sur la route",,,,
liste_marche_fonction,transport,"Il y a un marché dans la zone, mais je ne peux m'y rendre pour cause d'absence de moyens de transport",,,,
liste_marche_fonction,deplace,"Il y a un marché dans la zone, mais je ne peux m'y rendre car j'ai des difficultés à me déplacer",,,,
liste_marche_fonction,confinement,Le marché a été fermé dans le cadre de mesures de confinement liées au COVID-19,,,,
liste_marche_fonction,prix,"J'ai accès à un marché, mais les prix sont trop élevés, et je ne peux m'y approvisionner complètement par conséquent ;",,,,
liste_marche_fonction,bien_alimentaire,"Le marché est accessible, mais il n'est pas correctement approvisionné en biens alimentaires ;",,,,
liste_marche_fonction,bien_alimentaires,"Le marché est accessible, mais il n'est pas correctement approvisionné en articles non-alimentaires ;",,,,
liste_marche_fonction,prix_abordable,"Le marché est accessible, approvisionné, et à prix abordable pour mon ménage",,,,
liste_marche_fonction,autre,Autre (à préciser),,,,
liste_marche_fonction,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_source_eau,pmh,Forage avec une PMH (Pompe à Motricité Humaine),,,,
liste_source_eau,poste_auto,Poste d'eau autonome (robinets publics),,,,
liste_source_eau,puit_protege,Puits aménagé / protégé,,,,
liste_source_eau,puit_tradi,Puits traditionnel / non protégé,,,,
liste_source_eau,source_amenage,Source aménagée,,,,
liste_source_eau,non_amenage,Source non aménagée,,,,
liste_source_eau,borne_fontaine,Borne Fontaine,,,,
liste_source_eau,eau _robi_conce,Eau du robinet dans concession,,,,
liste_source_eau,eau _bout,Eau en bouteille - sachet,,,,
liste_source_eau,eau _camion,Eau amenée par camion,,,,
liste_source_eau,eau_pluie,Eau de pluie,,,,
liste_source_eau,cours_eau,"Cours d'eau (fleuve, rivière, ruisseau, eau de surface, etc.)",,,,
liste_source_eau,autre,"Autre, précisez",,,,
liste_temp_eau,eau_concession,Eau dans la concession,,,,
liste_temp_eau,moins_5mn,Moins de 5 minutes,,,,
liste_temp_eau,entre_5_15mn,Entre 5 et 15 minutes,,,,
liste_temp_eau,entre_16_30mn,Entre 16 et 30 minutes,,,,
liste_temp_eau,entre_31_45mn,Entre 31 et 45 minutes,,,,
